Id_Emision,Periodo,Año,Vencimiento,1er_Mora,2da_Mora
"1-2015","01",2015,"06/15/15 00:00:00","07/15/15 00:00:00","08/15/15 00:00:00"
"1-2016","01",2016,"06/15/16 00:00:00","07/15/16 00:00:00","08/15/16 00:00:00"
"2-2014","02",2014,"12/15/14 00:00:00","01/15/15 00:00:00","02/15/15 00:00:00"
"2-2015","02",2015,"12/15/15 00:00:00","01/15/16 00:00:00","02/15/16 00:00:00"
"1-2019","01",2019,"06/17/19 00:00:00","07/17/19 00:00:00","08/16/19 00:00:00"
"2-2019","02",2019,"12/16/19 00:00:00","01/16/20 00:00:00","02/17/20 00:00:00"
"1-2020","01",2020,"06/19/20 00:00:00","07/20/20 00:00:00","08/20/20 00:00:00"
"2-2021","02",2021,"12/15/21 00:00:00","01/17/22 00:00:00","02/15/22 00:00:00"
"1-2022","1",2022,"06/15/22 00:00:00","07/15/22 00:00:00","08/15/22 00:00:00"
"2-2022","2",2022,"12/15/22 00:00:00","01/16/23 00:00:00","02/15/23 00:00:00"
"1-2023","1",2023,"06/15/23 00:00:00","07/17/23 00:00:00","08/15/23 00:00:00"
"2-2023","2",2023,"12/22/23 00:00:00","01/22/24 00:00:00","02/22/24 00:00:00"
"1-2024","1",2024,"07/15/24 00:00:00","08/15/24 00:00:00","09/16/24 00:00:00"
"2-2024","2",2024,"12/16/24 00:00:00","01/15/25 00:00:00","02/17/25 00:00:00"
"1-2025","1",2025,"06/30/25 00:00:00","07/30/25 00:00:00","08/29/25 00:00:00"
"2-2025","2",2025,"12/15/25 00:00:00","01/15/26 00:00:00","02/16/26 00:00:00"
"2-2016","02",2016,"12/15/16 00:00:00","01/16/17 00:00:00","02/15/17 00:00:00"
"1-2017","01",2017,"06/15/17 00:00:00","07/17/17 00:00:00","08/15/17 00:00:00"
"2-2017","02",2017,"12/15/17 00:00:00","01/15/18 00:00:00","02/15/18 00:00:00"
"1-2018","01",2018,"06/15/18 00:00:00","07/16/18 00:00:00","08/15/18 00:00:00"
"2-2018","02",2018,"12/17/18 00:00:00","01/15/19 00:00:00","02/15/19 00:00:00"
"2-2020","02",2020,"12/15/20 00:00:00","01/15/21 00:00:00","02/15/21 00:00:00"
"1-2021","01",2021,"06/23/21 00:00:00","07/23/21 00:00:00","08/23/21 00:00:00"
